bucket,DAP,GDD,trtno,trt,rep,year,growthstage,leafarea,rootlength,rootdiam,rootfw,topfw,rootdw,topdw,shoot.root,cotlen,cotwidth,cotthick,cotlen.width
488,32,494.1,5,Grass-Start15DAP,9,2016,7.2,80.14,12,4.75,0.467,4.994,0.0359,0.43,12.0,,,,
490,32,494.1,6,No grass,9,2016,8.4,80,12.5,4.7,0.414,5.772,0.0353,0.50,14.2,,,,
492,32,494.1,6,No grass,10,2016,6.4,28.06,9.5,3.45,0.201,1.898,0.0147,0.16,10.9,,,,
493,32,494.1,4,Grass-End15DAP,10,2016,8,117.59,8.8,5.89,0.686,8.386,0.0569,0.79,13.8,,,,
494,32,494.1,3,Grass,10,2016,5.6,55.68,10.2,3.34,0.26,3.662,0.021,0.31,15.0,,,,
500,32,494.1,5,Grass-Start15DAP,10,2016,6.2,76.78,10.1,3.91,0.399,4.758,0.0334,0.44,13.3,,,,
503,32,494.1,3,Grass,11,2016,7.1,96.1,7.5,6.33,0.6,6.905,0.0518,0.60,11.6,,,,
504,32,494.1,6,No grass,11,2016,,,,,,,,,,,,,
505,32,494.1,4,Grass-End15DAP,11,2016,4.8,34.48,11.2,2.84,0.237,2.138,0.0169,0.19,11.4,,,,
509,32,494.1,5,Grass-Start15DAP,11,2016,6.5,82.03,6.2,4.13,0.347,5.231,0.0329,0.49,15.0,,,,
511,32,494.1,4,Grass-End15DAP,12,2016,7,84.99,13.2,4.15,0.451,5.806,0.04,0.53,13.3,,,,
512,32,494.1,5,Grass-Start15DAP,12,2016,7.4,100.07,10.7,5.67,0.512,6.683,0.0428,0.61,14.1,,,,
514,32,494.1,3,Grass,12,2016,7.5,108.42,6.7,6.09,0.58,8.099,0.049,0.69,14.1,,,,
518,32,494.1,6,No grass,12,2016,8.4,119.63,12.4,6.9,0.882,9.503,0.0827,0.89,10.7,,,,
522,32,494.1,3,Grass,13,2016,6.2,61.2,9,3.41,0.239,4.372,0.0237,0.45,18.8,,,,
524,32,494.1,4,Grass-End15DAP,13,2016,6.4,48.36,11.8,3.68,0.247,3.469,0.019,0.34,18.0,,,,
527,32,494.1,6,No grass,13,2016,4.4,25.88,11.3,2.47,0.142,1.628,0.0113,0.16,14.2,,,,
529,32,494.1,5,Grass-Start15DAP,13,2016,5.2,16.62,8.2,2.31,0.1,1.016,0.0082,0.11,12.9,,,,
532,32,494.1,4,Grass-End15DAP,14,2016,8.2,82.93,12.8,4.64,0.546,5.834,0.0461,0.59,12.9,,,,
534,32,494.1,3,Grass,14,2016,,,,,,,,,,,,,
536,32,494.1,6,No grass,14,2016,5.6,40.37,7.3,3.79,0.231,2.498,0.0177,0.24,13.7,,,,
540,32,494.1,5,Grass-Start15DAP,14,2016,7,65.58,11.2,3.1,0.335,4.665,0.0267,0.45,16.8,,,,
543,32,494.1,5,Grass-Start15DAP,15,2016,7.4,103.71,16,3.76,0.435,6.917,0.0422,0.72,17.1,,,,
545,32,494.1,4,Grass-End15DAP,15,2016,5,30.64,8.5,2.91,0.173,1.927,0.0144,0.20,13.9,,,,
548,32,494.1,6,No grass,15,2016,,,,,,,,,,,,,
549,32,494.1,3,Grass,15,2016,,,,,,,,,,,,,
407,50,803.65,7,Grass,1,2016,15,914.37,19,24.7,18.92,99.13,2.662,11.24,4.2,,,,
408,50,803.65,8,No grass,1,2016,16,1314.93,18,34.01,36.89,159.5,4.826,16.58,3.4,,,,
411,50,803.65,8,No grass,2,2016,17.3,1085.84,25,32.18,33.42,123.76,3.932,11.81,3.0,,,,
418,50,803.65,7,Grass,2,2016,16.2,1077.51,24,29.69,28.09,121.78,3.247,11.77,3.6,,,,
429,50,803.65,8,No grass,3,2016,15.8,1060.46,16,31.29,36.13,115.55,4.476,12.19,2.7,,,,
430,50,803.65,7,Grass,3,2016,15.2,1154.6,10,25.38,22.54,116.13,2.529,12.15,4.8,,,,
431,50,803.65,8,No grass,4,2016,18.8,1228.34,14.5,33.28,35.34,145.66,4.68,16.12,3.4,,,,
439,50,803.65,7,Grass,4,2016,16.7,1464.9,26,37.78,47.34,174.11,6.761,19.95,3.0,,,,
445,50,803.65,7,Grass,5,2016,11.3,480.29,12,16.74,7.28,39.84,0.913,4.22,4.6,,,,
446,50,803.65,8,No grass,5,2016,19.3,1161.02,34,35.41,37.31,116.78,5.004,14.10,2.8,,,,
451,50,803.65,8,No grass,6,2016,,,,,,,,,,,,,
459,50,803.65,7,Grass,6,2016,10.7,347.46,5,13,2.77,92.63,0.335,3.01,9.0,,,,
464,50,803.65,7,Grass,7,2016,,,,,,,,,,,,,
467,50,803.65,8,No grass,7,2016,14.8,230.58,12,14.18,3.51,22.68,0.322,2.12,6.6,,,,
475,50,803.65,7,Grass,8,2016,14,502.8,10,23.75,13.74,50.87,1.814,5.22,2.9,,,,
476,50,803.65,8,No grass,8,2016,15.2,412,17,17.93,6.62,39.25,0.807,4.06,5.0,,,,
484,50,803.65,7,Grass,9,2016,16.2,902.27,20,27.11,18.75,89.4,2.333,10.00,4.3,,,,
487,50,803.65,8,No grass,9,2016,18.4,1405.63,13,44.31,69.32,164.47,8.241,19.02,2.3,,,,
495,50,803.65,8,No grass,10,2016,16.3,462.16,25,22.07,12.19,50.03,1.415,4.85,3.4,,,,
496,50,803.65,7,Grass,10,2016,16.3,1106.31,20,34.93,34.73,129.29,4.62,14.62,3.2,,,,
501,50,803.65,8,No grass,11,2016,18,1549.53,16,39.35,92.82,164.26,6.162,16.79,2.7,,,,
502,50,803.65,7,Grass,11,2016,13.5,652.71,19,24.2,16.19,69.27,1.975,7.38,3.7,,,,
519,50,803.65,8,No grass,12,2016,13.2,178.19,14,13.18,2.94,14.88,0.371,1.65,4.4,,,,
520,50,803.65,7,Grass,12,2016,14.4,1026.38,11,31.04,27.6,117.95,3.773,13.33,3.5,,,,
523,50,803.65,7,Grass,13,2016,11.2,437.78,15,17.3,5.78,37.4,0.63,3.58,5.7,,,,
530,50,803.65,8,No grass,13,2016,17.4,1479.23,20,35.77,39.1,184.24,5.119,17.80,3.5,,,,
531,50,803.65,8,No grass,14,2016,,,,,,,,,,,,,
538,50,803.65,7,Grass,14,2016,14,304.21,16,11.28,5.69,23.4,0.539,5.11,9.5,,,,
546,50,803.65,7,Grass,15,2016,12.8,638.11,20,19.14,8.29,60.81,1.111,6.50,5.8,,,,
547,50,803.65,8,No grass,15,2016,18.5,1381.91,21,38.92,51.36,159.58,8.074,21.83,2.7,,,,
409,77,1276.5,9,Grass,1,2016,25,2747.89,35,85.58,513.10,374.88,93.27,57.42,0.6,,,,
410,77,1276.5,10,No grass,1,2016,27,4058.86,37,91.28,679.82,513.4,130.16,70.33,0.5,,,,
414,77,1276.5,10,No grass,2,2016,27,3748.66,20,86.61,486.35,542.33,95.11,89.65,0.9,,,,
415,77,1276.5,9,Grass,2,2016,24,3258.14,34,93.02,543.28,402.29,100.09,60.47,0.6,,,,
423,77,1276.5,9,Grass,3,2016,26.5,2502.08,28,82.3,309.50,391.1,56.59,56.54,1.0,,,,
427,77,1276.5,10,No grass,3,2016,29,2777.4,38,89.33,475.49,404.48,81.32,51.25,0.6,,,,
435,77,1276.5,10,No grass,4,2016,27.8,4045.76,31,93.59,512.15,544.59,92.97,77.27,0.8,,,,
440,77,1276.5,9,Grass,4,2016,26.4,3132.68,34,79.25,437.19,428.38,79.87,65.34,0.8,,,,
442,77,1276.5,10,No grass,5,2016,23.2,3526.59,34,86.14,519.23,552.66,82.31,73.39,0.9,,,,
447,77,1276.5,9,Grass,5,2016,27.5,3621.47,35,83.85,443.00,502.7,77.23,70.44,0.9,,,,
456,77,1276.5,9,Grass,6,2016,12.5,690.11,9,22,14.60,75.3,2.21,10.06,4.6,,,,
457,77,1276.5,10,No grass,6,2016,24.3,2569.01,30,73.87,289.24,379.7,46.04,50.35,1.1,,,,
465,77,1276.5,9,Grass,7,2016,27.5,3734.15,27,82.77,431.26,569.25,76.39,83.46,1.1,,,,
466,77,1276.5,10,No grass,7,2016,30.4,4665.51,30,97.07,588.00,563.08,102.77,81.10,0.8,,,,
471,77,1276.5,10,No grass,8,2016,25,1518.67,28,52.4,100.55,187.8,17.47,26.24,1.5,,,,
480,77,1276.5,9,Grass,8,2016,20.5,2363.34,23,78.26,297.37,374.12,50.03,54.80,1.1,,,,
485,77,1276.5,10,No grass,9,2016,34.2,4333.91,32,99.59,696.80,625.85,117.02,84.57,0.7,,,,
489,77,1276.5,9,Grass,9,2016,29.5,4280.97,28,100.7,692.45,597.6,127.04,84.65,0.7,,,,
491,77,1276.5,9,Grass,10,2016,32.5,5364.37,36,112.18,760.70,785.82,137.94,108.34,0.8,,,,
499,77,1276.5,10,No grass,10,2016,24.5,3130.05,38,87.9,443.30,418.72,71.21,59.16,0.8,,,,
506,77,1276.5,9,Grass,11,2016,29.3,5192.4,35,103.02,826.08,793,139.85,114.30,0.8,,,,
508,77,1276.5,10,No grass,11,2016,29,3186.4,25,96.17,643.60,506.1,113.65,76.86,0.7,,,,
513,77,1276.5,9,Grass,12,2016,25.5,3522.64,32,85.93,512.23,507.6,88.87,70.63,0.8,,,,
515,77,1276.5,10,No grass,12,2016,30.5,4044.43,36,95.45,647.09,632,114.72,86.93,0.8,,,,
525,77,1276.5,9,Grass,13,2016,26.5,2408.27,39,81.43,329.80,309.82,60.16,46.78,0.8,,,,
526,77,1276.5,10,No grass,13,2016,27.2,4340.88,32,105.87,684.30,651.46,115.40,89.87,0.8,,,,
537,77,1276.5,10,No grass,14,2016,32.1,3382.71,27,83.8,504.80,449.2,96.38,65.79,0.7,,,,
539,77,1276.5,9,Grass,14,2016,20.6,3303.11,23,84.46,324.40,418.7,55.72,59.20,1.1,,,,
541,77,1276.5,10,No grass,15,2016,31.8,5037.73,38,107.81,711.58,611.74,118.56,83.86,0.7,,,,
550,77,1276.5,9,Grass,15,2016,23.1,3052.36,34,70.33,329.50,448,59.16,65.38,1.1,,,,
